dataset_name,"('macro_f1', 'darwin')","('accuracy', 'darwin')","('macro_f1', 'darwin_transformer')","('accuracy', 'darwin_transformer')","('macro_f1', 'aht')","('accuracy', 'aht')","('macro_f1', 'arf')","('accuracy', 'arf')","('macro_f1', 'srp')","('accuracy', 'srp')"
BPIC_12,0.606,0.836,0.587,0.817,0.608,0.826,0.584,0.831,0.542,0.800
BPIC_13_C,0.418,0.514,0.314,0.483,0.401,0.565,0.454,0.622,0.454,0.613
BPIC_13_I,0.432,0.645,0.350,0.616,0.270,0.634,0.326,0.637,0.318,0.640
BPIC_18_C,0.475,0.830,0.473,0.829,0.460,0.809,0.416,0.727,0.397,0.695
BPIC_18_G,0.332,0.663,0.346,0.718,0.353,0.749,0.429,0.816,0.401,0.781
BPIC_18_P,0.412,0.694,0.423,0.713,0.347,0.636,0.308,0.608,0.287,0.603
BPIC_20_DD,0.400,0.883,0.394,0.883,0.443,0.865,0.391,0.890,0.461,0.886
BPIC_20_ID,0.433,0.831,0.432,0.834,0.396,0.793,0.417,0.823,0.414,0.814
BPIC_20_PTC,0.358,0.775,0.354,0.770,0.451,0.818,0.495,0.848,0.462,0.831
BPIC_20_RFP,0.400,0.860,0.381,0.877,0.384,0.870,0.370,0.877,0.407,0.867
BPIC_20_TPD,0.366,0.739,0.357,0.732,0.350,0.769,0.262,0.625,0.240,0.606
Helpdesk,0.241,0.793,0.220,0.793,0.231,0.765,0.289,0.822,0.279,0.821
Sepsis,0.424,0.582,0.292,0.467,0.375,0.573,0.385,0.601,0.358,0.573
Traffic_Fines,0.575,0.575,0.530,0.559,0.584,0.759,0.376,0.430,0.367,0.416
